  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00         99.8230461571                     0        2276.12983954        -21170.9871557        -18894.8573162 
  5.0000e-15          99.430066434                     0         2267.1692547         -21153.065287        -18885.8960323 
  1.0000e-14         98.7758837951                     0        2252.25281323        -21123.2298999        -18870.9770867 
  1.5000e-14         97.8627419112                     0        2231.43167453        -21081.5826929        -18850.1510184 
  2.0000e-14         96.6942069188                     0        2204.78715238        -21028.2854104         -18823.498258 
  2.5000e-14         95.2754470818                     0         2172.4370917         -20963.572595        -18791.1355033 
  3.0000e-14          93.613593183                     0        2134.54408609        -20887.7680307        -18753.2239446 
  3.5000e-14         91.7181753077                     0        2091.32543719        -20801.3046865        -18709.9792493 
  4.0000e-14         89.6016256258                     0        2043.06461894        -20704.7476997        -18661.6830808 
  4.5000e-14         87.2798272371                     0        1990.12379217        -20598.8195006        -18608.6957084 
  5.0000e-14         84.7726753948                     0        1932.95660142         -20484.425559        -18551.4689576 
  5.5000e-14         82.1045994006                     0        1872.12007501        -20362.6784054        -18490.5583304 
  6.0000e-14         79.3049726019                     0        1808.28397361        -20234.9166152        -18426.6326416 
  6.5000e-14         76.4083181507                     0        1742.23548195        -20102.7145245        -18360.4790425 
  7.0000e-14         73.4542066384                     0        1674.87687468        -19967.8778827         -18293.001008 
  7.5000e-14         70.4867479361                     0         1607.2139295        -19832.4209061        -18225.2069766 
  8.0000e-14         67.5536122818                     0        1540.33360634        -19698.5216718        -18158.1880654 
  8.5000e-14         64.7045769765                     0        1475.37090963        -19568.4556217        -18093.0847121 
  9.0000e-14         61.9896752293                     0        1413.46667893        -19444.5106712        -18031.0439923 
  9.5000e-14         59.4571010396                     0         1355.7198168        -19328.8910291        -17973.1712123 
  1.0000e-13         57.1510735005                     0        1303.13859138        -19223.6191472        -17920.4805558 
  1.0500e-13         55.1098704555                     0        1256.59580053        -19130.4455013        -17873.8497007 
  1.1000e-13         53.3642080543                     0        1216.79182305        -19050.7743263        -17833.9825033 
  1.1500e-13         51.9360865476                     0        1184.22830089        -18985.6108016        -17801.3825007 
