  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00         99.7568812808                     0        5265.32678564        -100807.428537        -95542.1017512 
  5.0000e-15         99.1077683206                     0        5231.06557165        -100604.516769        -95373.4511973 
  1.0000e-14         98.0388079392                     0        5174.64414331        -100274.264511        -95099.6203682 
  1.5000e-14         96.5689590038                     0        5097.06317976        -99822.5879973        -94725.5248176 
  2.0000e-14         94.7247227689                     0        4999.72145935        -99257.7045025        -94257.9830431 
  2.5000e-14         92.5404926614                     0        4884.43432183        -98590.2328771        -93705.7985553 
  3.0000e-14         90.0588811111                     0        4753.45091898        -97833.2859229        -93079.8350039 
  3.5000e-14          87.330915689                     0        4609.46456714        -97002.5222768        -92393.0577097 
  4.0000e-14         84.4159733076                     0        4455.60927412        -96116.1185763        -91660.5093022 
  4.5000e-14         81.3813055416                     0        4295.43468498        -95194.6180784        -90899.1833934 
  5.0000e-14         78.3010085545                     0          4132.851713        -94260.6120255        -90127.7603125 
  5.5000e-14           75.25431728                     0        3972.04250396        -93338.2177845        -89366.1752806 
  6.0000e-14         72.3231635219                     0        3817.33154871        -92452.3356121        -88635.0040634 
  6.5000e-14         69.5890336424                     0          3673.019827        -91627.6946236        -87954.6747966 
  7.0000e-14         67.1292849636                     0        3543.19038127         -90887.735746        -87344.5453647 
  7.5000e-14         65.0132091651                     0        3431.50053653        -90253.4186545        -86821.9181179 
  8.0000e-14         63.2982335935                     0        3340.98139942        -89742.0711139        -86401.0897145 
  8.5000e-14          62.026693924                     0         3273.8675142        -89366.4123822         -86092.544868 
  9.0000e-14         61.2235722728                     0        3231.47747666        -89133.8705556         -85902.393079 
  9.5000e-14         60.8954746715                     0        3214.15996366        -89046.2771964        -85832.1172328 
  1.0000e-13         61.0309469594                     0        3221.31040639        -89099.9693488        -85878.6589425 
  1.0500e-13         61.6020412003                     0        3251.45366833        -89286.2722383          -86034.81857 
  1.1000e-13         62.5668890172                     0        3302.37987001        -89592.2887545        -86289.9088845 
  1.1500e-13         63.8729432237                     0        3371.31548737        -90001.8930502        -86630.5775628 
  1.2000e-13         65.4605233213                     0        3455.11048883        -90496.8176393        -87041.7071504 
  1.2500e-13         67.2663336127                     0        3550.42402685        -91057.7330646        -87507.3090378 
  1.3000e-13         69.2266938233                     0        3653.89495531        -91665.2402448        -88011.3452894 
  1.3500e-13         71.2803084132                     0        3762.28799816        -92300.7212845        -88538.4332863 
  1.4000e-13          73.370483866                     0        3872.61078148        -92947.0194803        -89074.4086988 
  1.4500e-13         75.4467719025                     0         3982.2005649        -93588.9401741        -89606.7396092 
  1.5000e-13         77.4660662608                     0        4088.78213136        -94213.5796521        -90124.7975208 
  1.5500e-13         79.3932117106                     0        4190.49993194        -94810.4994688        -90619.9995369 
  1.6000e-13         81.2011993609                     0        4285.92839443        -95371.7691712        -91085.8407768 
  1.6500e-13         82.8710260526                     0        4374.06450188        -95891.9024224        -91517.8379205 
  1.7000e-13         84.3912915852                     0        4454.30653358        -96367.7109458        -91913.4044122 
  1.7500e-13         85.7575989561                     0        4526.42240875        -96798.0983896        -92271.6759809 
  1.8000e-13         86.9718122313                     0        4590.51051574        -97183.8129009        -92593.3023852 
  1.8500e-13         88.0412160631                     0        4646.95535011        -97527.1736104        -92880.2182603 
  1.9000e-13         88.9776117312                     0        4696.37980213        -97831.7830096        -93135.4032075 
  1.9500e-13         89.7963780145                     0        4739.59558822         -98102.234804        -93362.6392158 
  2.0000e-13         90.5155217984                     0        4777.55314042        -98343.8254256        -93566.2722852 
  2.0500e-13         91.1547429461                     0        4811.29224882         -98562.276826        -93750.9845772 
  2.1000e-13         91.7345396485                     0        4841.89484052        -98763.4780504        -93921.5832099 
  2.1500e-13         92.2753825287                     0        4870.44138756        -98953.2529039        -94082.8115163 
  2.2000e-13         92.7969862342                     0        4897.97246037        -99137.1603381        -94239.1878777 
  2.2500e-13         93.3177044634                     0        4925.45679634        -99320.3327602        -94394.8759639 
  2.3000e-13         93.8540675958                     0        4953.76689517        -99507.3553132         -94553.588418 
  2.3500e-13         94.4204717956                     0        4983.66260929        -99702.1865625        -94718.5239532 
  2.4000e-13         95.0290161753                     0         5015.7825491        -99908.1183549        -94892.3358058 
  2.4500e-13         95.6894725181                     0        5050.64248486        -100127.770305        -95077.1278203 
